,M01AB
2019-12-21,5.515308380126953
2019-12-22,4.936862945556641
2019-12-23,5.0557661056518555
2019-12-24,5.269351959228516
2019-12-25,5.267411231994629
2019-12-26,4.989532470703125
2019-12-27,5.161739349365234
2019-12-28,5.1068434715271
2019-12-29,4.943262100219727
2019-12-30,5.332061767578125
2019-12-31,5.307469367980957
2020-01-01,5.1672682762146
2020-01-02,5.172234535217285
2020-01-03,5.149577617645264
2020-01-04,5.228586196899414
2020-01-05,5.06710147857666
2020-01-06,5.237452507019043
2020-01-07,5.482860565185547
2020-01-08,5.047290802001953
2020-01-09,4.891209602355957
2020-01-10,5.105035781860352
2020-01-11,5.5161919593811035
2020-01-12,4.723483562469482
2020-01-13,5.334042549133301
2020-01-14,5.002012729644775
2020-01-15,5.039088726043701
2020-01-16,5.52691650390625
2020-01-17,5.303287029266357
2020-01-18,5.4442458152771
2020-01-19,5.499839782714844
2020-01-20,5.514212131500244
2020-01-21,4.977251052856445
2020-01-22,4.950806140899658
2020-01-23,5.180541515350342
2020-01-24,5.43515157699585
2020-01-25,5.432321071624757
2020-01-26,5.305788993835449
2020-01-27,5.486281871795654
2020-01-28,5.263014316558838
2020-01-29,5.461556911468506
2020-01-30,5.0777764320373535
2020-01-31,5.15109395980835
2020-02-01,5.8672003746032715
2020-02-02,5.219604015350342
2020-02-03,5.653285026550293
2020-02-04,5.362980842590332
2020-02-05,5.143058776855469
2020-02-06,3.8778884410858154
2020-02-07,5.0318169593811035
2020-02-08,5.390200138092041
2020-02-09,5.598658084869385
2020-02-10,4.768945693969727
2020-02-11,5.060000419616699
2020-02-12,5.315001487731934
2020-02-13,5.468357086181641
2020-02-14,5.1244683265686035
2020-02-15,5.1103739738464355
2020-02-16,5.039629936218262
2020-02-17,6.067976474761963
2020-02-18,6.155683994293212
2020-02-19,5.121867656707764
2020-02-20,5.415335655212402
2020-02-21,5.050161361694336
2020-02-22,5.7619524002075195
2020-02-23,5.6563544273376465
2020-02-24,5.443288326263428
2020-02-25,4.840376853942871
2020-02-26,5.425891399383545
2020-02-27,5.15473747253418
2020-02-28,5.120518207550049
2020-02-29,5.524333477020264
2020-03-01,5.31427001953125
2020-03-02,5.238697052001954
2020-03-03,5.40656042098999
2020-03-04,5.464300632476807
2020-03-05,5.261355876922607
2020-03-06,5.474551677703857
2020-03-07,5.11191987991333
2020-03-08,5.001508712768555
2020-03-09,5.300566673278809
2020-03-10,5.21111536026001
2020-03-11,5.557931423187256
2020-03-12,5.356056213378906
2020-03-13,5.1507768630981445
2020-03-14,5.512175559997559
2020-03-15,5.262704849243164
2020-03-16,5.254180908203125
2020-03-17,4.931344032287598
2020-03-18,5.237970352172852
2020-03-19,5.209009170532227
2020-03-20,5.091129302978516
2020-03-21,5.330511093139648
2020-03-22,5.635983943939209
2020-03-23,5.700356960296631
2020-03-24,5.497663497924805
2020-03-25,5.447927474975586
2020-03-26,5.189810752868652
2020-03-27,5.254321098327637
2020-03-28,5.519316673278809
2020-03-29,5.467962265014648
2020-03-30,5.414581298828125
2020-03-31,5.483238697052002
2020-04-01,5.0072245597839355
2020-04-02,4.874815940856934
2020-04-03,5.240202903747559
2020-04-04,5.939401626586914
2020-04-05,5.242620468139648
2020-04-06,5.565755367279053
2020-04-07,5.548231601715088
2020-04-08,5.206887722015381
2020-04-09,5.479983329772949
2020-04-10,4.717258930206299
2020-04-11,5.830286502838135
2020-04-12,5.293505668640137
2020-04-13,5.424400329589844
2020-04-14,5.567165374755859
2020-04-15,5.1185197830200195
2020-04-16,4.865921974182129
2020-04-17,5.535611152648926
2020-04-18,5.482262134552002
2020-04-19,5.259162425994873
2020-04-20,5.353693962097168
2020-04-21,5.300312042236328
2020-04-22,5.354750633239746
2020-04-23,5.526154518127441
2020-04-24,5.484515190124512
2020-04-25,5.090892791748047
2020-04-26,6.3720598220825195
2020-04-27,5.3332319259643555
2020-04-28,5.181949615478516
2020-04-29,5.058483123779296
2020-04-30,5.7498369216918945
2020-05-01,5.3531556129455575
2020-05-02,5.7360405921936035
2020-05-03,5.394664764404297
2020-05-04,5.08757209777832
2020-05-05,5.533392429351807
2020-05-06,5.254059314727783
2020-05-07,5.461864471435546
2020-05-08,5.2948994636535645
2020-05-09,5.357978343963623
2020-05-10,5.528034687042236
2020-05-11,5.215803623199463
2020-05-12,5.579101085662842
2020-05-13,5.392231464385986
2020-05-14,5.7046284675598145
2020-05-15,5.662369728088379
2020-05-16,5.6135969161987305
2020-05-17,5.848706245422363
2020-05-18,5.430517196655273
2020-05-19,5.450992584228516
2020-05-20,5.694874286651611
2020-05-21,5.52171516418457
2020-05-22,5.192769527435304
2020-05-23,5.21192741394043
2020-05-24,5.367333889007568
2020-05-25,5.199285984039306
2020-05-26,5.786633491516113
2020-05-27,5.628905773162842
2020-05-28,5.853992462158203
2020-05-29,5.839444637298584
2020-05-30,5.942657947540283
2020-05-31,5.816152095794678
2020-06-01,5.834375858306885
2020-06-02,5.687200546264648
2020-06-03,5.487676620483398
2020-06-04,5.80552101135254
2020-06-05,5.749656677246094
2020-06-06,5.973714351654053
2020-06-07,5.275503158569336
2020-06-08,5.656843185424804
2020-06-09,5.33331823348999
2020-06-10,5.137473106384277
2020-06-11,5.62655782699585
2020-06-12,5.751304626464844
2020-06-13,5.914032459259033
2020-06-14,5.427314758300781
2020-06-15,5.648179531097412
2020-06-16,5.610426425933838
2020-06-17,5.552481651306152
2020-06-18,5.438231945037842
2020-06-19,5.3688764572143555
2020-06-20,5.987143516540527
2020-06-21,5.444848537445068
2020-06-22,5.6229705810546875
2020-06-23,5.299880504608154
2020-06-24,5.649168491363525
2020-06-25,5.6464104652404785
2020-06-26,5.607780933380126
2020-06-27,5.96931266784668
2020-06-28,5.55413818359375
2020-06-29,5.9736809730529785
2020-06-30,5.370550632476807
2020-07-01,5.750386714935303
2020-07-02,5.688394069671631
2020-07-03,5.558517932891847
2020-07-04,5.787745475769043
2020-07-05,6.044299125671387
2020-07-06,5.809726238250732
2020-07-07,5.523293972015381
2020-07-08,5.46776008605957
2020-07-09,6.442939758300781
2020-07-10,5.818166732788086
2020-07-11,5.939127445220947
2020-07-12,5.867082595825195
2020-07-13,5.575289249420166
2020-07-14,5.595501899719238
2020-07-15,5.661484241485596
2020-07-16,5.5989365577697745
2020-07-17,5.8375563621521
2020-07-18,5.834691047668458
2020-07-19,5.893759727478027
2020-07-20,5.836601734161377
2020-07-21,6.1129679679870605
2020-07-22,6.221473693847656
2020-07-23,5.749760150909424
2020-07-24,6.481597423553467
2020-07-25,6.282403945922852
2020-07-26,5.935874938964844
2020-07-27,6.118417739868164
2020-07-28,5.898253440856934
2020-07-29,6.018178939819336
2020-07-30,5.889591217041016
2020-07-31,6.160112380981445
2020-08-01,6.030555248260498
2020-08-02,5.872737407684326
2020-08-03,6.329872131347656
2020-08-04,6.1408796310424805
2020-08-05,5.50375509262085
2020-08-06,5.592226505279541
2020-08-07,5.754011154174805
2020-08-08,5.7280778884887695
2020-08-09,6.349583148956299
2020-08-10,6.063204765319823
2020-08-11,5.7776336669921875
2020-08-12,5.818102836608887
2020-08-13,5.674866676330566
2020-08-14,5.362044334411621
2020-08-15,5.735652923583984
2020-08-16,5.910637378692627
2020-08-17,6.383447170257568
2020-08-18,5.88650369644165
2020-08-19,6.927884578704834
2020-08-20,5.774905681610107
2020-08-21,5.948511600494385
2020-08-22,5.950546741485596
2020-08-23,6.5501861572265625
2020-08-24,6.000308036804199
2020-08-25,7.020568370819092
2020-08-26,5.46311092376709
2020-08-27,5.994025230407715
2020-08-28,5.625301837921143
2020-08-29,5.998279094696045
2020-08-30,6.216508865356445
2020-08-31,6.026219367980957
2020-09-01,6.004068851470947
2020-09-02,6.474652290344238
2020-09-03,5.886220932006836
2020-09-04,5.795705318450929
2020-09-05,5.987004280090332
2020-09-06,6.189122676849365
2020-09-07,6.1368818283081055
2020-09-08,6.091922283172607
2020-09-09,5.966802597045898
2020-09-10,5.628047943115234
2020-09-11,5.45779275894165
2020-09-12,6.3064870834350595
2020-09-13,5.883101940155029
2020-09-14,5.934506416320801
2020-09-15,5.787874221801758
2020-09-16,5.740994930267334
2020-09-17,5.856316566467285
2020-09-18,5.807509899139403
2020-09-19,6.282756328582764
2020-09-20,6.2069220542907715
2020-09-21,5.775306701660156
2020-09-22,5.746484756469727
2020-09-23,6.051271438598633
2020-09-24,5.7859086990356445
2020-09-25,5.807798385620117
2020-09-26,5.502809047698975
2020-09-27,5.87066125869751
2020-09-28,5.575730800628662
2020-09-29,5.676731586456299
2020-09-30,5.657004356384277
2020-10-01,6.221342086791992
2020-10-02,5.990479946136475
2020-10-03,6.002273082733154
2020-10-04,5.859459400177002
2020-10-05,5.562830448150635
2020-10-06,5.865900993347168
2020-10-07,5.923130035400391
2020-10-08,5.58220100402832
2020-10-09,5.148440361022949
2020-10-10,5.891805648803711
2020-10-11,6.100204944610596
2020-10-12,5.402266502380371
2020-10-13,5.87614107131958
2020-10-14,5.564732074737549
2020-10-15,5.346655368804931
2020-10-16,5.546241760253907
2020-10-17,5.53900909423828
2020-10-18,5.369179725646973
2020-10-19,5.550045967102051
2020-10-20,5.54519510269165
2020-10-21,5.66950798034668
2020-10-22,5.411883354187012
2020-10-23,6.044699192047119
2020-10-24,5.515474319458007
2020-10-25,5.419492721557617
2020-10-26,5.905946731567383
2020-10-27,5.7084197998046875
2020-10-28,5.637512683868408
2020-10-29,5.392683506011963
2020-10-30,5.700919151306152
2020-10-31,5.536038398742676
2020-11-01,5.629332542419434
2020-11-02,5.785260200500488
2020-11-03,6.240202903747559
2020-11-04,5.6754302978515625
2020-11-05,5.639522552490234
2020-11-06,5.70780611038208
2020-11-07,7.135499000549316
2020-11-08,5.671727180480957
2020-11-09,5.770462989807129
2020-11-10,5.881518840789795
2020-11-11,5.629836082458496
2020-11-12,6.038557052612305
2020-11-13,5.621138095855713
2020-11-14,5.260244846343994
2020-11-15,5.62416934967041
2020-11-16,5.423343181610107
2020-11-17,5.415200710296631
2020-11-18,5.192302227020264
2020-11-19,5.863921165466309
2020-11-20,5.407768249511719
2020-11-21,5.692181587219238
2020-11-22,5.163651466369629
2020-11-23,5.108713150024414
2020-11-24,5.458666801452637
2020-11-25,5.611295223236084
2020-11-26,6.177701950073242
2020-11-27,5.580907344818115
2020-11-28,6.95186185836792
2020-11-29,5.585336208343506
2020-11-30,5.388727188110352
2020-12-01,5.311122417449951
2020-12-02,5.814854621887207
2020-12-03,5.802235126495361
2020-12-04,6.215439319610596
2020-12-05,5.5674824714660645
2020-12-06,5.851245880126952
2020-12-07,5.722421169281006
2020-12-08,5.697845458984375
2020-12-09,5.470707893371582
2020-12-10,5.529773235321045
2020-12-11,5.531569004058838
2020-12-12,5.817491054534912
2020-12-13,5.7375664710998535
2020-12-14,5.360140800476074
2020-12-15,5.429188251495361
2020-12-16,5.407525062561035
2020-12-17,5.9407243728637695
2020-12-18,5.358290195465088
2020-12-19,5.769315242767334
2020-12-20,6.208256721496582
2020-12-21,5.668321132659912
2020-12-22,5.405912399291992
2020-12-23,5.379491329193115
2020-12-24,5.104521751403809
2020-12-25,5.378406524658203
2020-12-26,5.979173183441162
2020-12-27,5.6847124099731445
2020-12-28,5.852778434753418
2020-12-29,5.4909443855285645
2020-12-30,6.022790431976318
2020-12-31,5.328664779663086
2021-01-01,5.817912578582764
2021-01-02,6.20586395263672
2021-01-03,5.767983913421631
2021-01-04,5.958547115325928
2021-01-05,5.653812885284424
2021-01-06,5.544271945953369
2021-01-07,5.744623184204102
2021-01-08,5.738003730773926
2021-01-09,5.915173530578613
2021-01-10,5.813865661621093
2021-01-11,5.935135364532471
2021-01-12,5.689600467681885
2021-01-13,5.579286575317383
2021-01-14,5.489796161651611
2021-01-15,6.027875900268555
2021-01-16,5.572716236114502
2021-01-17,6.17879056930542
2021-01-18,5.638519287109375
2021-01-19,5.965788841247559
2021-01-20,5.827071189880371
2021-01-21,5.5148863792419425
2021-01-22,5.832682132720948
2021-01-23,5.870824813842773
2021-01-24,5.996851921081543
2021-01-25,6.0586466789245605
2021-01-26,5.094157695770264
2021-01-27,5.637895584106445
2021-01-28,5.776829719543457
2021-01-29,5.213010787963867
2021-01-30,5.923525810241699
2021-01-31,5.661140441894531
2021-02-01,5.330226421356201
2021-02-02,5.617223739624023
2021-02-03,5.461381912231445
2021-02-04,5.5995588302612305
2021-02-05,5.706430435180664
2021-02-06,5.7596330642700195
2021-02-07,5.7001495361328125
2021-02-08,5.8126020431518555
2021-02-09,5.842365264892578
2021-02-10,5.441152095794678
2021-02-11,5.634702682495117
2021-02-12,5.5070390701293945
2021-02-13,5.790186882019043
2021-02-14,5.6407551765441895
2021-02-15,5.523654937744141
2021-02-16,5.393177032470703
2021-02-17,5.747541427612305
2021-02-18,5.438840866088867
2021-02-19,5.648540496826172
2021-02-20,5.9430341720581055
2021-02-21,5.61080265045166
2021-02-22,5.538183212280273
2021-02-23,5.61879062652588
2021-02-24,5.401338577270508
2021-02-25,5.575564861297607
2021-02-26,5.384535312652587
2021-02-27,5.6553215980529785
2021-02-28,5.739766597747803
2021-03-01,5.31260061264038
2021-03-02,5.405195236206055
2021-03-03,5.772949695587158
2021-03-04,5.601480960845947
2021-03-05,5.537151336669922
2021-03-06,6.488413333892822
2021-03-07,5.6120996475219735
2021-03-08,5.647713661193848
2021-03-09,5.537582874298096
2021-03-10,5.861116886138916
2021-03-11,5.598043918609619
2021-03-12,5.131192684173584
2021-03-13,5.989072799682617
2021-03-14,5.75685453414917
2021-03-15,5.801805019378662
2021-03-16,5.291081428527832
2021-03-17,5.391226291656494
2021-03-18,5.604562759399414
2021-03-19,5.461748123168944
2021-03-20,5.875533580780029
2021-03-21,5.5095367431640625
2021-03-22,5.425834655761719
2021-03-23,4.776159286499023
2021-03-24,5.1486616134643555
2021-03-25,5.357950687408447
2021-03-26,5.468492031097412
2021-03-27,5.577845096588135
2021-03-28,5.237738132476807
2021-03-29,5.890316486358643
2021-03-30,5.491278171539307
2021-03-31,5.688448905944824
2021-04-01,5.212870121002197
2021-04-02,4.985152244567871
2021-04-03,5.259944915771484
2021-04-04,5.658731937408447
2021-04-05,5.557533264160156
2021-04-06,5.231418609619141
2021-04-07,5.082639694213867
2021-04-08,5.105602741241454
2021-04-09,5.00701379776001
2021-04-10,5.2408905029296875
2021-04-11,5.231759548187256
2021-04-12,5.407734870910644
2021-04-13,5.566102027893066
2021-04-14,5.311777591705322
2021-04-15,4.831906318664551
2021-04-16,5.564392089843749
2021-04-17,5.7556939125061035
2021-04-18,5.294365882873535
2021-04-19,5.014224529266357
2021-04-20,5.525940895080566
2021-04-21,5.113193511962891
2021-04-22,5.161113739013672
2021-04-23,4.691387176513672
2021-04-24,5.136429786682129
2021-04-25,5.154911518096924
2021-04-26,5.451567649841309
2021-04-27,5.1347174644470215
2021-04-28,5.305537700653076
2021-04-29,5.478240013122559
2021-04-30,5.127443313598633
2021-05-01,5.282633781433106
2021-05-02,5.2690887451171875
2021-05-03,5.294061660766602
2021-05-04,5.111820697784424
2021-05-05,5.039082527160645
2021-05-06,5.643859386444092
2021-05-07,5.04112434387207
2021-05-08,5.063748836517334
2021-05-09,5.478507518768311
2021-05-10,5.156447410583496
2021-05-11,4.985965728759766
2021-05-12,5.7091240882873535
2021-05-13,4.833894729614258
2021-05-14,5.056789398193359
2021-05-15,5.486776351928711
2021-05-16,5.578044891357423
2021-05-17,5.442377567291261
2021-05-18,5.359304428100586
2021-05-19,5.4185991287231445
2021-05-20,5.083319664001465
2021-05-21,5.118891716003418
2021-05-22,5.288787364959717
2021-05-23,5.387987136840819
2021-05-24,4.821927070617676
2021-05-25,5.044589042663574
2021-05-26,5.267027854919434
2021-05-27,5.350713729858398
2021-05-28,5.427986145019531
2021-05-29,5.480165481567383
2021-05-30,5.320540904998779
2021-05-31,5.225940227508545
2021-06-01,5.259981632232666
2021-06-02,5.3237624168396
2021-06-03,5.229689598083496
2021-06-04,5.009264945983887
2021-06-05,5.053425788879394
2021-06-06,5.0918426513671875
2021-06-07,5.048619270324706
2021-06-08,5.404016971588135
2021-06-09,4.840268611907959
2021-06-10,4.6341328620910645
2021-06-11,5.567495822906494
2021-06-12,5.159364223480225
2021-06-13,5.446453094482422
2021-06-14,4.909303188323975
2021-06-15,5.7288312911987305
2021-06-16,5.018843650817871
2021-06-17,5.135829448699951
2021-06-18,5.8811445236206055
2021-06-19,4.95612907409668
2021-06-20,5.325743675231933
2021-06-21,5.203892230987549
2021-06-22,5.081399440765381
2021-06-23,5.094215393066406
2021-06-24,5.074537754058838
2021-06-25,4.898900032043457
2021-06-26,4.9492974281311035
2021-06-27,5.750169277191161
2021-06-28,5.183481693267823
2021-06-29,5.413358688354492
2021-06-30,5.421067237854004
2021-07-01,5.181779384613037
2021-07-02,4.7746405601501465
2021-07-03,5.171419143676758
2021-07-04,5.4381585121154785
2021-07-05,5.209076881408691
2021-07-06,5.080781936645508
2021-07-07,5.398288726806641
2021-07-08,5.397739887237549
2021-07-09,5.017818450927734
2021-07-10,5.553158760070801
2021-07-11,7.024008750915527
2021-07-12,5.304114818572998
2021-07-13,5.255732536315918
2021-07-14,4.956502437591553
2021-07-15,5.06053352355957
2021-07-16,5.2574591636657715
2021-07-17,5.132361888885498
2021-07-18,5.201984405517578
2021-07-19,5.467702388763428
2021-07-20,5.274405479431152
2021-07-21,5.293783187866211
2021-07-22,5.257428169250488
2021-07-23,5.2715349197387695
2021-07-24,5.581099033355713
2021-07-25,5.234068393707275
2021-07-26,4.89189338684082
2021-07-27,5.313704013824463
2021-07-28,5.153651714324951
2021-07-29,5.154288291931152
2021-07-30,5.158762454986572
2021-07-31,5.334506034851074
2021-08-01,5.211858749389648
2021-08-02,5.298212051391602
2021-08-03,5.1781697273254395
2021-08-04,5.089554786682129
2021-08-05,5.100427627563477
2021-08-06,5.015595436096191
2021-08-07,5.90354061126709
2021-08-08,5.148174285888672
2021-08-09,5.195477485656738
2021-08-10,5.209981918334961
2021-08-11,5.428443908691405
2021-08-12,5.017804145812988
2021-08-13,4.92087984085083
2021-08-14,5.230423927307129
2021-08-15,5.50101375579834
2021-08-16,5.502561092376709
2021-08-17,5.183143138885498
2021-08-18,4.90302848815918
2021-08-19,5.336477279663086
2021-08-20,4.7367215156555185
2021-08-21,5.526316165924072
2021-08-22,5.424203872680664
2021-08-23,5.927417278289795
2021-08-24,5.4652605056762695
2021-08-25,5.012463092803955
2021-08-26,5.0341644287109375
2021-08-27,5.078647613525391
2021-08-28,4.985741138458252
2021-08-29,5.095205783843994
2021-08-30,5.025610446929932
2021-08-31,5.71748161315918
2021-09-01,5.289188385009766
2021-09-02,4.987743377685547
2021-09-03,5.024649620056152
2021-09-04,4.916240215301514
2021-09-05,4.9863295555114755
2021-09-06,5.434914588928223
2021-09-07,5.389293670654297
2021-09-08,5.134965896606445
2021-09-09,5.5633673667907715
2021-09-10,5.085914134979248
2021-09-11,5.299468040466309
2021-09-12,5.351541519165039
2021-09-13,5.52226161956787
2021-09-14,5.507590293884277
2021-09-15,5.269498825073242
2021-09-16,5.499950885772705
2021-09-17,5.168964862823486
2021-09-18,5.090391159057617
2021-09-19,5.4960408210754395
2021-09-20,5.265684127807617
2021-09-21,6.035979270935059
2021-09-22,5.204279899597168
2021-09-23,4.85642147064209
2021-09-24,5.074099540710449
2021-09-25,5.1126556396484375
2021-09-26,5.335176944732666
2021-09-27,6.310885429382324
2021-09-28,4.941932678222656
2021-09-29,5.0615153312683105
2021-09-30,5.0257697105407715
2021-10-01,4.930624008178711
2021-10-02,5.091094493865967
2021-10-03,5.3932976722717285
2021-10-04,5.19103479385376
2021-10-05,4.932847499847412
2021-10-06,5.130196571350098
2021-10-07,5.03055477142334
2021-10-08,5.57342529296875
2021-10-09,4.8622236251831055
2021-10-10,5.037539482116699
2021-10-11,5.05794095993042
2021-10-12,6.446483612060547
2021-10-13,4.9447221755981445
2021-10-14,4.888674736022948
2021-10-15,5.2751383781433105
2021-10-16,5.149267196655273
2021-10-17,5.187675952911377
2021-10-18,4.931711673736572
2021-10-19,4.90003776550293
2021-10-20,5.317192554473877
2021-10-21,5.1561689376831055
2021-10-22,4.931169509887695
2021-10-23,5.2014617919921875
2021-10-24,5.323254108428955
2021-10-25,5.2891316413879395
2021-10-26,5.138641834259033
2021-10-27,5.188842296600342
2021-10-28,5.263206481933594
2021-10-29,4.891528129577637
2021-10-30,5.487976551055908
2021-10-31,5.0996994972229
2021-11-01,5.123556613922119
2021-11-02,5.036124229431152
2021-11-03,4.445770740509033
2021-11-04,4.996371269226074
2021-11-05,4.902767658233643
2021-11-06,5.886506080627441
2021-11-07,5.442788600921631
2021-11-08,4.511282920837402
2021-11-09,5.4516191482543945
2021-11-10,4.566080570220947
2021-11-11,5.073478698730469
2021-11-12,5.1951117515563965
2021-11-13,4.9526872634887695
2021-11-14,5.129354953765869
2021-11-15,5.311587810516357
2021-11-16,4.357144355773926
2021-11-17,4.999325752258301
